epochs, EmbeddingSimilarity,nll-test,Bleu,Self-Bleu,
1,-0.016900938327930645,1.5176395,0.33457144039469316,0.511415927056067,
6,-0.012446954676129126,1.0768331,0.6055378370840144,0.511415927056067,
11,-0.010605632029217747,0.94250995,0.6246122314543953,0.511415927056067,
16,-0.010017550993107704,0.87466186,0.6374788197947009,0.511415927056067,
21,-0.009941768802406261,0.8343423,0.6425734861899539,0.511415927056067,
26,-0.01025185255504695,0.8063875,0.6525885330257475,0.511415927056067,
31,-0.010184307534953752,0.7920549,0.6421118475999774,0.511415927056067,
36,-0.010203932183418777,0.7830784,0.6436237191616734,0.511415927056067,
41,-0.010087400259102633,0.7732443,0.6449222100343958,0.511415927056067,
46,-0.01000381503420602,0.76118594,0.6444143107870132,0.511415927056067,
51,-0.010275492123238307,0.7578793,0.6502184131505724,0.511415927056067,
56,-0.009959580442316781,0.74950576,0.6530750600938364,0.511415927056067,
61,-0.010140843440956821,0.74481446,0.6499283445384396,0.511415927056067,
66,-0.009897738494602898,0.73867947,0.6495341412736746,0.511415927056067,
71,-0.010172347002911407,0.7346655,0.6522695109103328,0.511415927056067,
76,-0.01022884675176354,0.7300964,0.6532974928147863,0.511415927056067,
81,-0.010309820976276177,0.7334427,0.66195114200402,0.511415927056067,
86,-0.010821599773580937,0.7512747,0.6806511420720965,0.511415927056067,
91,-0.011097864687609463,0.76899225,0.6797641439812236,0.511415927056067,
96,-0.011874713689029242,0.7887686,0.6755950986583233,0.511415927056067,
101,-0.011418020449284782,0.8057784,0.6812126801824778,0.511415927056067,
106,-0.012343847527399955,0.8233783,0.6768430631164594,0.511415927056067,
111,-0.012260644587772311,0.8347931,0.6807855020997983,0.511415927056067,
116,-0.012266338774468994,0.84361035,0.6827729999728737,0.511415927056067,
121,-0.012417487542730133,0.85538054,0.6894001730573099,0.511415927056067,
126,-0.01205186553452114,0.8653964,0.6879870395351195,0.511415927056067,
131,-0.012403748675105526,0.87450856,0.6853779052430127,0.511415927056067,
136,-0.012587070123390073,0.88275987,0.6821476309116759,0.511415927056067,
141,-0.012327905854858627,0.89636964,0.67808225687928,0.511415927056067,
146,-0.012986500292102634,0.91494083,0.6635457963683107,0.511415927056067,
151,-0.013523038790610542,0.9298706,0.6553113759209253,0.511415927056067,
156,-0.013743029228064887,0.94260484,0.6463132138435562,0.511415927056067,
161,-0.01385533236147608,0.9475238,0.6520920702477856,0.511415927056067,
166,-0.013793135264842925,0.9605398,0.6694796461661923,0.511415927056067,
171,-0.013376062414717501,0.97129726,0.6802668745755552,0.511415927056067,
176,-0.014155003689696782,0.97663164,0.6857086701839599,0.511415927056067,
180,-0.014255171644308152,0.97615093,0.6819094217648642,0.511415927056067,
